epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,2778.88,0.50697,0.59923,0.60591,0.00231,0.27281,0.85494,0.74324,0.84523,0.71585,0.86043,0.7498,0.85971,0.68212,0.6834,0.87922,0.80675,0.00267,0,0.000140137,0.000140137,0.000140137
54,2831.15,0.51039,0.60426,0.62148,0.00239,0.30203,0.80704,0.763,0.84245,0.71125,0.8137,0.76729,0.85883,0.67881,0.70811,0.86646,0.80158,0.00277,0,0.000131566,0.000131566,0.000131566
55,2884.17,0.52275,0.57188,0.66041,0.00236,0.27646,0.8051,0.75676,0.83734,0.70664,0.81229,0.76351,0.85377,0.67174,0.71676,0.86982,0.80414,0.00279,0,0.000123182,0.000123182,0.000123182
56,2934.36,0.50163,0.57765,0.59779,0.00193,0.32515,0.79269,0.77703,0.84087,0.70603,0.79959,0.78378,0.85493,0.67189,0.73484,0.87616,0.80375,0.00291,0,0.000114996,0.000114996,0.000114996
57,2978.2,0.53296,0.63666,0.63326,0.00218,0.26568,0.79714,0.77703,0.8408,0.70894,0.80407,0.78378,0.85484,0.67154,0.72716,0.85793,0.84253,0.00281,0,0.000107023,0.000107023,0.000107023
58,3023.77,0.54193,0.61456,0.66413,0.00212,0.28824,0.84982,0.71622,0.84171,0.70997,0.82369,0.75,0.85546,0.67337,0.72352,0.86515,0.85893,0.00281,0,9.92742e-05,9.92742e-05,9.92742e-05
59,3067.8,0.47847,0.52482,0.60662,0.00234,0.312,0.79322,0.75676,0.83961,0.70646,0.80031,0.76351,0.85469,0.67285,0.72362,0.86073,0.85666,0.0028,0,9.17616e-05,9.17616e-05,9.17616e-05
60,3111.86,0.51298,0.62518,0.61269,0.00236,0.28616,0.78631,0.77027,0.83916,0.70782,0.79052,0.79046,0.85592,0.67297,0.72157,0.88344,0.80043,0.0028,0,8.44968e-05,8.44968e-05,8.44968e-05
61,3156.69,0.49377,0.5973,0.59877,0.00225,0.28364,0.77158,0.77703,0.83759,0.71055,0.77,0.79174,0.85506,0.67554,0.71934,0.87847,0.80109,0.00281,0,7.74911e-05,7.74911e-05,7.74911e-05
62,3201.3,0.48026,0.55391,0.61218,0.00218,0.24637,0.85005,0.72973,0.83903,0.70975,0.82219,0.73649,0.85488,0.67877,0.69483,0.86342,0.84937,0.00264,0,7.07552e-05,7.07552e-05,7.07552e-05
63,3248.22,0.5397,0.58481,0.65787,0.00217,0.28233,0.8612,0.71272,0.83883,0.70787,0.77539,0.78378,0.85511,0.68558,0.71867,0.86,0.79605,0.00282,0,6.42995e-05,6.42995e-05,6.42995e-05
64,3292.84,0.48307,0.53482,0.60633,0.00213,0.27282,0.8562,0.70946,0.83687,0.71118,0.85406,0.70946,0.8538,0.68043,0.69098,0.85698,0.8396,0.00264,0,5.81341e-05,5.81341e-05,5.81341e-05
65,3338.86,0.49265,0.57541,0.58671,0.00196,0.26476,0.85773,0.7027,0.83796,0.70972,0.82029,0.7402,0.85358,0.67965,0.70071,0.8646,0.80109,0.00274,0,5.22683e-05,5.22683e-05,5.22683e-05
66,3392.31,0.52451,0.57798,0.62912,0.00216,0.25941,0.86752,0.7027,0.83698,0.71226,0.83248,0.74324,0.85359,0.68508,0.6738,0.8492,0.84475,0.00255,0,4.67113e-05,4.67113e-05,4.67113e-05
67,3450.61,0.46483,0.51209,0.54596,0.00231,0.23376,0.87393,0.70259,0.83731,0.71112,0.85142,0.70946,0.85309,0.67926,0.6775,0.84925,0.83938,0.00258,0,4.14716e-05,4.14716e-05,4.14716e-05
68,3506.2,0.4842,0.53887,0.59011,0.00209,0.27067,0.83594,0.72297,0.83828,0.71269,0.82635,0.73649,0.8529,0.68238,0.68212,0.84507,0.83042,0.00259,0,3.65572e-05,3.65572e-05,3.65572e-05
69,3556.18,0.50829,0.5594,0.60888,0.00208,0.29224,0.87593,0.69595,0.83982,0.71343,0.84075,0.74913,0.85546,0.68202,0.68472,0.85307,0.77864,0.00266,0,3.19759e-05,3.19759e-05,3.19759e-05
70,3605.13,0.52312,0.59642,0.65614,0.00215,0.26278,0.82667,0.74118,0.83686,0.71302,0.81987,0.75676,0.85344,0.68014,0.69339,0.86194,0.78177,0.00271,0,2.77346e-05,2.77346e-05,2.77346e-05
