epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,1377.7,0.626,0.62291,1.60281,0.00338,0.41322,0.82612,0.59459,0.7201,0.59075,0.82612,0.59459,0.72843,0.57637,0.88768,1.3773,1.57042,0.00355,0,0.000597754,0.000597754,0.000597754
46,1407.67,0.61864,0.66575,1.55236,0.00318,0.41761,0.833,0.62162,0.73647,0.59442,0.833,0.62162,0.74345,0.58063,0.89105,1.39591,1.55422,0.00359,0,0.000582435,0.000582435,0.000582435
47,1438.03,0.64328,0.66069,1.41455,0.00279,0.471,0.8234,0.60811,0.7329,0.59488,0.8234,0.60811,0.74086,0.5766,0.84911,1.39788,1.56974,0.00334,0,0.00056704,0.00056704,0.00056704
48,1467.31,0.58052,0.66159,1.52726,0.00315,0.38339,0.8234,0.60811,0.7329,0.59488,0.8234,0.60811,0.74086,0.5766,0.84911,1.39788,1.56974,0.00334,0,0.000551584,0.000551584,0.000551584
49,1498.27,0.55835,0.65787,1.57559,0.00266,0.4805,0.8502,0.60811,0.74364,0.60149,0.8502,0.60811,0.75197,0.58607,0.84013,1.35431,1.54475,0.0034,0,0.000536081,0.000536081,0.000536081
50,1528.7,0.58474,0.57693,1.35932,0.00261,0.33565,0.77448,0.64189,0.75266,0.6036,0.77448,0.64189,0.76124,0.59107,0.85884,1.41348,1.52295,0.00358,0,0.000520548,0.000520548,0.000520548
51,1558.86,0.5991,0.58675,1.3535,0.00273,0.47239,0.74715,0.67568,0.75959,0.61127,0.74715,0.67568,0.76405,0.59178,0.8412,1.39336,1.53703,0.00341,0,0.000505,0.000505,0.000505
52,1588.62,0.56998,0.64443,1.37289,0.00267,0.43273,0.74715,0.67568,0.75959,0.61127,0.74715,0.67568,0.76405,0.59178,0.8412,1.39336,1.53703,0.00341,0,0.000489452,0.000489452,0.000489452
53,1618.15,0.58582,0.60254,1.57215,0.00313,0.36783,0.83597,0.62162,0.76418,0.61782,0.83597,0.62162,0.76752,0.591,0.79202,1.38694,1.55213,0.00307,0,0.000473919,0.000473919,0.000473919
54,1646.36,0.54169,0.60245,1.48035,0.00279,0.35675,0.84164,0.62162,0.76604,0.62003,0.84164,0.62162,0.7686,0.5923,0.83502,1.43327,1.49183,0.00341,0,0.000458416,0.000458416,0.000458416
55,1675.4,0.56998,0.62746,1.49433,0.00277,0.31425,0.84164,0.62162,0.76604,0.62003,0.84164,0.62162,0.7686,0.5923,0.83502,1.43327,1.49183,0.00341,0,0.00044296,0.00044296,0.00044296
56,1706.05,0.53634,0.61616,1.3046,0.00254,0.34224,0.85252,0.62494,0.76391,0.61761,0.85252,0.62494,0.76831,0.58954,0.84902,1.46732,1.49593,0.00351,0,0.000427565,0.000427565,0.000427565
